Subject,State Name,Total Facilities,Websites Found,Success Rate,Updated JSON File,Error
/home/ubuntu/minnesota_facilities.json,Minnesota,340,334,98.2%,/home/ubuntu/updated_file/23_jS5we9qPluUQgmaYi5Il0x_1770829087068_na1fn_L2hvbWUvdWJ1bnR1L21pbm5lc290YV9mYWNpbGl0aWVzX3VwZGF0ZWQ.json,
/home/ubuntu/mississippi_facilities.json,Mississippi,201,179,89.1%,/home/ubuntu/updated_file/24_yM9a5W5St3aCqjN3S7Lkjw_1770829870154_na1fn_L2hvbWUvdWJ1bnR1L21pc3Npc3NpcHBpX2ZhY2lsaXRpZXNfdXBkYXRlZA.json,
/home/ubuntu/missouri_facilities.json,Missouri,485,437,90.1%,/home/ubuntu/updated_file/25_vU6mLJdNkaRs8RfP0MGPvY_1770829024417_na1fn_L2hvbWUvdWJ1bnR1L21pc3NvdXJpX2ZhY2lsaXRpZXNfdXBkYXRlZA.json,
/home/ubuntu/montana_facilities.json,Montana,61,54,88.5%,/home/ubuntu/updated_file/26_6kJntrxBNnOehtxadkKTsp_1770828951935_na1fn_L2hvbWUvdWJ1bnR1L21vbnRhbmFfZmFjaWxpdGllc191cGRhdGVk.json,
/home/ubuntu/nebraska_facilities.json,Nebraska,179,158,88.3%,/home/ubuntu/updated_file/27_xK4H1alkvGelniC4XzIK1K_1770829611036_na1fn_L2hvbWUvdWJ1bnR1L25lYnJhc2thX2ZhY2lsaXRpZXNfdXBkYXRlZA.json,
/home/ubuntu/nevada_facilities.json,Nevada,66,64,97.0%,/home/ubuntu/updated_file/28_yQ5mAaqhqjc6AsrsnKNvZG_1770828990052_na1fn_L2hvbWUvdWJ1bnR1L25ldmFkYV9mYWNpbGl0aWVzX3VwZGF0ZWQ.json,
/home/ubuntu/new_hampshire_facilities.json,New Hampshire,74,73,98.6%,/home/ubuntu/updated_file/29_cCbw8ASEPQsrN03LSBbdUc_1770829092696_na1fn_L2hvbWUvdWJ1bnR1L25ld19oYW1wc2hpcmVfZmFjaWxpdGllc191cGRhdGVk.json,
/home/ubuntu/new_jersey_facilities.json,New Jersey,348,341,98.0%,/home/ubuntu/updated_file/30_GlRHYo8JQJPWJuRgLostQG_1770834730100_na1fn_L2hvbWUvdWJ1bnR1L25ld19qZXJzZXlfZmFjaWxpdGllc191cGRhdGVk.json,
/home/ubuntu/new_mexico_facilities.json,New Mexico,68,65,95.6%,/home/ubuntu/updated_file/31_cquNQnxoSD31v1dTKHbv5Z_1770829098148_na1fn_L2hvbWUvdWJ1bnR1L25ld19tZXhpY29fZmFjaWxpdGllc191cGRhdGVk.json,
/home/ubuntu/new_york_facilities.json,New York,597,574,96.1%,/home/ubuntu/updated_file/32_o3XAqePAi8A25lkuS3LO8L_1770830155277_na1fn_L2hvbWUvdWJ1bnR1L25ld195b3JrX2ZhY2lsaXRpZXNfdXBkYXRlZA.json,
